[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor16] /!\ [Actor16] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor16] /!\ [Actor16] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor20] /!\ [Actor20] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor100] /!\ [Actor100] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor20] /!\ [Actor20] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor91] /!\ [Actor91] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor91] /!\ [Actor91] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor42] /!\ [Actor42] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor42] /!\ [Actor42] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor91] /!\ [Actor91] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor16] /!\ [Actor16] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor35] /!\ [Actor35] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor42] /!\ [Actor42] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor20] /!\ [Actor20] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor16] /!\ [Actor16] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor57] /!\ [Actor57] received DECIDE from [Actor51], proposal [0]
