[INFO] [04/03/2024 16:15:44.093] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor43] /!\ [Actor43] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.094] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor47] /!\ [Actor47] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.096] [system-akka.actor.default-dispatcher-10] [akka://system/user/Actor63] /!\ [Actor63] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.099] [system-akka.actor.default-dispatcher-34] [akka://system/user/Actor54] /!\ [Actor54] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.101] [system-akka.actor.default-dispatcher-4] [akka://system/user/Actor1] /!\ [Actor1] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.105] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor75] /!\ [Actor75] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.106] [system-akka.actor.default-dispatcher-12] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.107] [system-akka.actor.default-dispatcher-11] [akka://system/user/Actor80] /!\ [Actor80] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.109] [system-akka.actor.default-dispatcher-21] [akka://system/user/Actor94] /!\ [Actor94] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor20] /!\ [Actor20] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor9] /!\ Total time for the Process [9] to decide (value [1] ballot [3109]): 356ms
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor1] /!\ [Actor1] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor9], proposal [1]
